Question,Answer
ধ্বনি ও বর্ণের সংজ্ঞা লেখ এবং উদাহরণসহ এদের পার্থক্য বুঝিয়ে দাও।,"ধ্বনি হলো ভাষার ক্ষুদ্রতম শ্রবণযোগ্য একক যা উচ্চারণের সময় শোনা যায়। যেমন: ক, খ, আ ইত্যাদি। বর্ণ হলো ধ্বনির লিখিত রূপ বা চিহ্ন। যেমন: অ, আ, ই, ঈ, ক, খ ইত্যাদি। ধ্বনি শ্রুতিগত, আর বর্ণ দৃশ্যমান; এটাই এদের মূল পার্থক্য।"
উচ্চারণ স্থান অনুযায়ী বাংলা স্পর্শ ব্যঞ্জনধ্বনিগুলোকে কী কী ভাগে ভাগ করা যায়?,"উচ্চারণ স্থান অনুযায়ী বাংলা স্পর্শ ব্যঞ্জনধ্বনি পাঁচ ভাগে বিভক্ত: ১) কণ্ঠ্য (ক, খ, গ, ঘ, ঙ), ২) তালব্য (চ, ছ, জ, ঝ, ঞ), ৩) মূর্ধন্য (ট, ঠ, ড, ঢ, ণ), ৪) দন্ত্য (ত, থ, দ, ধ, ন), ৫) ওষ্ঠ্য (প, ফ, ব, ভ, ম)।"
দ্বিস্বর বা যৌগিক স্বর কাকে বলে? উদাহরণসহ বাংলা যৌগিক স্বরগুলোর গঠনপ্রণালী বর্ণনা কর।,"যে স্বরধ্বনি দুটি স্বরধ্বনির মিলনে উচ্চারিত হয় তাকে দ্বিস্বর বা যৌগিক স্বর বলে। বাংলা ভাষায় যৌগিক স্বর তিনটি — ঐ, ঔ, ও। গঠনপ্রণালী: ঐ = অ + ই, ঔ = অ + উ, ও = অ + উ (সংক্ষিপ্ত রূপে)।"
"উদাহরণসহ নিচের বর্ণগুলোর ধ্বনি বৈশিষ্ট্য উল্লেখ কর: ও, ন, শ, য, স, ং, য়।","ও – স্বরধ্বনি, মধ্য জিহ্বা ওষ্ঠ্য উচ্চারিত। ন – দন্ত্য ব্যঞ্জন, অনুনাসিক। শ – তালব্য ব্যঞ্জন, অঘোষ। য – অর্ধস্বর, তালব্য। স – দন্ত্য ব্যঞ্জন, অঘোষ। ং – অনুনাসিক ধ্বনি, নাসারন্ধ্র নির্ভর। য় – অর্ধস্বর, মৃদু ধ্বনি।"
"নিচের শব্দগুলোর ঠিক উচ্চারণ পাশে লেখ: দ্বিতীয়, আত্মীয়, অবজ্ঞা, বিশ্ব, বিস্ময়, সত্য, সহ্য।","দ্বিতীয় – দিতিয়, আত্মীয় – আত্তিয়, অবজ্ঞা – অবজ্জনা, বিশ্ব – বিশ্য, বিস্ময় – বিস্ময় (বি-স্ময়), সত্য – সত্ত, সহ্য – সহ্হ।"
"সংজ্ঞা লেখ ও উদাহরণ দাও: সমীভবন, বিপ্রকর্ষ, স্বরসঙ্গতি, অন্তর্হতি, অপিনিহিতি, অভিশ্রুতি।",সমীভবন: দুটি ধ্বনি কাছাকাছি হয়ে উচ্চারিত হয়। যেমন: সত্য → সত্ত। বিপ্রকর্ষ: দুটি ধ্বনি দূরে সরে উচ্চারিত হয়। যেমন: উপদেশ → উপদেস। স্বরসঙ্গতি: একটি স্বরের প্রভাবে অন্য স্বরের পরিবর্তন। যেমন: করিলাম → করলাম। অন্তর্হতি: একটি ধ্বনি লোপ পায়। যেমন: তৎ + পর → তপর। অপিনিহিতি: কোনো ধ্বনি অন্য ধ্বনির আগে বা পরে যুক্ত হয়। যেমন: করিয়া → কইর্যা। অভিশ্রুতি: কাছাকাছি দুটি স্বরধ্বনির মিলন। যেমন: নর + ইশ → নরীশ।
"ধ্বনি পরিবর্তনের যে যে বিধানে নিম্নলিখিত শব্দসমূহ গঠিত হয়েছে, তা পাশাপাশি লেখ: কপাট, জেলে, বৌদি, আলাদা।",কপাট – ধ্বনি লোপ; জেলে – স্বরসঙ্গতি; বৌদি – অভিশ্রুতি; আলাদা – বিপ্রকর্ষ।
বন্ধনীর মধ্যে থেকে ঠিক সূত্রটি বেছে নিয়ে শূন্যস্থান পূর্ণ কর।,(অ) একই স্বরের পুনরাবৃত্তি দূর করার জন্য 'আ' যুক্ত হলে তাকে বলে স্বরসঙ্গতি। (আ) শব্দের মধ্যে ই বা উ যথাস্থানের আগে উচ্চারিত হলে তাকে বলে অভিশ্রুতি। (ই) শব্দের মধ্যে দুটি সমধ্বনির একটি লোপ হলে তাকে বলে অন্তর্হতি। (ঈ) জোর দেওয়ার জন্য যখন ব্যঞ্জনধ্বনির দ্বিত্ব উচ্চারণ হয় তখন তাকে বলে বর্ণদ্বিত্ব। (উ) সংযুক্ত ব্যঞ্জনের মাঝে স্বরধ্বনি উচ্চারিত হলে তাকে বলে অপিনিহিতি।
"নিচের বর্ণে দ্যোতিত ধ্বনির নাম ডান পাশে লেখ (যেমন— ঘোষ, মহাপ্রাণ, কণ্ঠ্য ব্যঞ্জন): ব, শ, ম, দ, খ, প, ঠ, হ, ক্ষ।",ব – ঘোষ ওষ্ঠ্য ব্যঞ্জন; শ – অঘোষ তালব্য ব্যঞ্জন; ম – ঘোষ ওষ্ঠ্য অনুনাসিক; দ – ঘোষ দন্ত্য ব্যঞ্জন; খ – মহাপ্রাণ কণ্ঠ্য ব্যঞ্জন; প – অঘোষ ওষ্ঠ্য ব্যঞ্জন; ঠ – অঘোষ মূর্ধন্য ব্যঞ্জন; হ – ঘোষ কণ্ঠ্য ব্যঞ্জন; ক্ষ – যৌগিক ব্যঞ্জন (ক + ষ)।
ঠিক উত্তরে টিক চিহ্ন দাও।,"ট – কণ্ঠ্যবর্ণ, ম – ওষ্ঠ্যবর্ণ, গ – ঘোষবর্ণ, চ – দন্ত্যবর্ণ, ঘ – অল্পপ্রাণ কণ্ঠ্যবর্ণ।"
